name,price,folder
"Fire-Boltt Dazzle 1.83"" Smartwatch Full Touch Largest Borderless Display & 60 Sports Modes (Swimming) with IP68 Rating, Sp02 Tracking, Over 100 Cloud Based Watch Faces (Silver)",[1399.0],<a href=./images/Fire-Boltt_Dazzle_1.83_Smartwatch_Full_Touch_Largest_Borderless_Display__60_Sports_Modes_Swimming_with_IP68_Rating_Sp02_Tracking_Over_100_Cloud_Based_Watch_Faces_Silver>images</a><br>
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 280 Pixel High Resolution",[1099.0],<a href=./images/Fire-Boltt_Ninja_Call_Pro_Plus_1.83_Smart_Watch_with_Bluetooth_Calling_AI_Voice_Assistance_100_Sports_Modes_IP67_Rating_240_X_280_Pixel_High_Resolution>images</a><br>
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 280 Pixel High Resolution",[1299.0],<a href=./images/Fire-Boltt_Ninja_Call_Pro_Plus_1.83_Smart_Watch_with_Bluetooth_Calling_AI_Voice_Assistance_100_Sports_Modes_IP67_Rating_240_X_280_Pixel_High_Resolution>images</a><br>
"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)",[1399.0],<a href=./images/Noise_Twist_Round_dial_Smart_Watch_with_Bluetooth_Calling_1.38_TFT_Display_up-to_7_Days_Battery_100plus_Watch_Faces_IP68_Heart_Rate_Monitor_Sleep_Tracking_Jet_Black>images</a><br>
"Fire-Boltt Dazzle Plus 1.81"" Smartwatch Full Touch Largest Borderless Display & 60 Sports Modes (Swimming) with IP68 Rating, Sp02 Tracking, Over 100 Cloud Based Watch Faces",[1399.0],<a href=./images/Fire-Boltt_Dazzle_Plus_1.81_Smartwatch_Full_Touch_Largest_Borderless_Display__60_Sports_Modes_Swimming_with_IP68_Rating_Sp02_Tracking_Over_100_Cloud_Based_Watch_Faces>images</a><br>
SONATA GOLD Smart Band Wireless Sweatproof Fitness Band S6| Activity Tracker| Blood Pressure| Heart Rate Sensor,[1399.0],<a href=./images/SONATA_GOLD_Smart_Band_Wireless_Sweatproof_Fitness_Band_S6I_Activity_TrackerI_Blood_PressureI_Heart_Rate_Sensor>images</a><br>
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 280 Pixel High Resolution",[1099.0],<a href=./images/Fire-Boltt_Ninja_Call_Pro_Plus_1.83_Smart_Watch_with_Bluetooth_Calling_AI_Voice_Assistance_100_Sports_Modes_IP67_Rating_240_X_280_Pixel_High_Resolution>images</a><br>
"Fire-Boltt Dazzle 1.83"" Smartwatch Full Touch Largest Borderless Display & 60 Sports Modes (Swimming) with IP68 Rating, Sp02 Tracking, Over 100 Cloud Based Watch Faces (Black)",[1399.0],<a href=./images/Fire-Boltt_Dazzle_1.83_Smartwatch_Full_Touch_Largest_Borderless_Display__60_Sports_Modes_Swimming_with_IP68_Rating_Sp02_Tracking_Over_100_Cloud_Based_Watch_Faces_Black>images</a><br>
"Fire-Boltt Cyclone 1.6'' Round Premium Display, Motion Sensor Gaming, APPEnabled GPS Sports Smartwatch (Orange Strap, Onesize)",[2600.0],<a href=./images/Fire-Boltt_Cyclone_1.6_Round_Premium_Display_Motion_Sensor_Gaming_APPEnabled_GPS_Sports_Smartwatch_Orange_Strap_Onesize>images</a><br>
"Pebble Revo Smartwatch, 1.3"" HD Touchscreen, Bluetooth Calling, Smart Watch (PFB13 Charcoal Black)",[4774.0],<a href=./images/Pebble_Revo_Smartwatch_1.3_HD_Touchscreen_Bluetooth_Calling_Smart_Watch_PFB13_Charcoal_Black>images</a><br>
GOQii Smart Vital Junior Activity Tracker (Zebra Black),[4999.0],<a href=./images/GOQii_Smart_Vital_Junior_Activity_Tracker_Zebra_Black>images</a><br>
"OnePlus Nord Watch with 1.78 AMOLED Display, 60 Hz Refresh Rate, 105 Fitness Modes, 10 Days Battery, SPO2, Heart Rate, Stress Monitor, Women Health Tracker & Multiple Watch Face [Midnight Black]",[4998.0],<a href=./images/OnePlus_Nord_Watch_with_1.78_AMOLED_Display_60_Hz_Refresh_Rate_105_Fitness_Modes_10_Days_Battery_SPO2_Heart_Rate_Stress_Monitor_Women_Health_Tracker__Multiple_Watch_Face_[Midnight_Black]>images</a><br>
"Fire-Boltt Dagger Luxe 1.43"" Super AMOLED Display Luxury Smartwatch, Stainless Steel Build, 600 NITS Brightness with Single BT Bluetooth Connection, IP68, Dual Button Technology (Stainless Black)",[4499.0],<a href=./images/Fire-Boltt_Dagger_Luxe_1.43_Super_AMOLED_Display_Luxury_Smartwatch_Stainless_Steel_Build_600_NITS_Brightness_with_Single_BT_Bluetooth_Connection_IP68_Dual_Button_Technology_Stainless_Black>images</a><br>
Noise ColorFit Icon Buzz Bluetooth Calling Smart Watch (Black),[4999.0],<a href=./images/Noise_ColorFit_Icon_Buzz_Bluetooth_Calling_Smart_Watch_Black>images</a><br>
"Redmi Watch 2 Lite - Multi-System Standalone GPS, 3.94 cm Large HD Edge Display, Continuous SpO2, Stress & Sleep Monitoring, 24x7 HR, 5ATM, 120+ Watch Faces, 100+ Sports Modes, Women’s Health, Black",[4999.0],<a href=./images/Redmi_Watch_2_Lite_-_Multi-System_Standalone_GPS_3.94_cm_Large_HD_Edge_Display_Continuous_SpO2_Stress__Sleep_Monitoring_24x7_HR_5ATM_120plus_Watch_Faces_100plus_Sports_Modes_Women’s_Health_Black>images</a><br>
"Pebble Cosmos, Bluetooth Calling smartwatch 1.7' HD Screen with SPO2(Cobalt Blue)",[4499.0],<a href=./images/Pebble_Cosmos_Bluetooth_Calling_smartwatch_1.7_HD_Screen_with_SPO2Cobalt_Blue>images</a><br>
"Pebble Cosmos, Bluetooth Calling smartwatch 1.7' HD Screen with SPO2(Space Black)",[4499.0],<a href=./images/Pebble_Cosmos_Bluetooth_Calling_smartwatch_1.7_HD_Screen_with_SPO2Space_Black>images</a><br>
