_id,link,price,brand,name
c70804659,https://www.wildberries.ru/catalog/70804659/detail.aspx,8136,Beelink,Неттоп T4 Pro N3350 Win10pro
c179025129,https://www.wildberries.ru/catalog/179025129/detail.aspx,11967,Azerty,"Неттоп AZ-0018 (Intel i5 2x2.5GHz, 8Gb, 256Gb SSD, Wi-Fi, B"
c211485667,https://www.wildberries.ru/catalog/211485667/detail.aspx,24568,Azerty,"Мини ПК AZ-0024 Intel i7 6x2.6GHz, 16Gb, 512Gb SSD"
c124276567,https://www.wildberries.ru/catalog/124276567/detail.aspx,7984,Beelink,Неттоп T4 Pro N3350 Win10pro
c186165734,https://www.wildberries.ru/catalog/186165734/detail.aspx,42561,MSI,Неттоп Pro DP10 13M-025BRU i5 1340P Iris Xe noOS белый
c178132871,https://www.wildberries.ru/catalog/178132871/detail.aspx,13529,SKYTEK,Мини ПК Beelink GK mini 8 128Gb
c218483314,https://www.wildberries.ru/catalog/218483314/detail.aspx,33368,HIPER,Неттоп NUG I3-1115G4 8 256 Win11Pro
c219777113,https://www.wildberries.ru/catalog/219777113/detail.aspx,17943,GenMachine,Неттоп (Athlon 3150U 16ГБ 512ГБ)
c219777112,https://www.wildberries.ru/catalog/219777112/detail.aspx,14826,GenMachine,Неттоп (Athlon 3150U 8ГБ 256ГБ)
c218702700,https://www.wildberries.ru/catalog/218702700/detail.aspx,27302,GenMachine,Неттоп (R9-5900HX 16GB 512NVME)
c218664368,https://www.wildberries.ru/catalog/218664368/detail.aspx,21917,GenMachine,Неттоп (R7-5700U 16GB 512NVME)
c101322286,https://www.wildberries.ru/catalog/101322286/detail.aspx,11787,TOPIFY,Мини ПК Beelink Mini S 8 256 Gb
c178132714,https://www.wildberries.ru/catalog/178132714/detail.aspx,11823,SKYTEK,Мини ПК Beelink Mini S 8 128 Gb
c183104151,https://www.wildberries.ru/catalog/183104151/detail.aspx,13309,Azerty,"Неттоп AZ-0023 (Intel i7 2x2.7GHz, 8Gb, 512Gb SSD, Wi-Fi, B"
c186165695,https://www.wildberries.ru/catalog/186165695/detail.aspx,24799,MSI,Неттоп Cubi N ADL-018RU slim N200 4Gb SSD128Gb UHDG W11P
c216513602,https://www.wildberries.ru/catalog/216513602/detail.aspx,12194,Azerty,"Неттоп AZ-0015-256 (Intel i7 2x2.7GHz, 8Gb, 256 Gb SSD)"
c216513605,https://www.wildberries.ru/catalog/216513605/detail.aspx,17753,Azerty,"Неттоп AZ-0015 (Intel i7 2x2.7 GHz, 8Gb, 128 Gb SSD)"
c187808818,https://www.wildberries.ru/catalog/187808818/detail.aspx,8185,Beelink,Мини-пк Неттоп T4 Pro N3350 Win10pro
c54448987,https://www.wildberries.ru/catalog/54448987/detail.aspx,9093,Beelink,"Мини-ПК (неттоп) T4 Pro, 4 64 Гб, Windows 10 Компьютер"
c69072067,https://www.wildberries.ru/catalog/69072067/detail.aspx,10950,TOPIFY,Мини ПК Beelink GK Mini 8 256Gb J4125
c144848620,https://www.wildberries.ru/catalog/144848620/detail.aspx,12134,Volken,Мини ПК Beelink Mini S 8 256 Gb
c178139884,https://www.wildberries.ru/catalog/178139884/detail.aspx,14545,SKYTEK,Мини ПК Beelink Mini S 8 256 Gb
c158193455,https://www.wildberries.ru/catalog/158193455/detail.aspx,13309,Azerty,Мини ПК AZ-0015-512 2x2.7GHz 8Gb 512Gb
c186165777,https://www.wildberries.ru/catalog/186165777/detail.aspx,41628,MSI,Неттоп Cubi 5 12M-097XRU i5 1235U 16Gb SSD512Gb Iris Xe
c144852326,https://www.wildberries.ru/catalog/144852326/detail.aspx,11284,Volken,Мини ПК Beelink GK Mini 8 256Gb J4125
c101323054,https://www.wildberries.ru/catalog/101323054/detail.aspx,15038,DECK,Мини ПК Beelink Mini S 8 256 Gb
c178136429,https://www.wildberries.ru/catalog/178136429/detail.aspx,14227,SKYTEK,Мини ПК Beelink GK Mini 8 256Gb J4125
c211439235,https://www.wildberries.ru/catalog/211439235/detail.aspx,10139,Azerty,"Неттоп AZ-0013-256 (Intel i3 2x2.2GHz, 8Gb, 256 Gb SSD)"
c144881016,https://www.wildberries.ru/catalog/144881016/detail.aspx,12619,SAGE by Encome,Мини ПК Beelink Mini S 8 128 Gb
c207549206,https://www.wildberries.ru/catalog/207549206/detail.aspx,26536,iRU,Компьютер 310TLCN (1975168)
c70804659,https://www.wildberries.ru/catalog/70804659/detail.aspx,8136,Beelink,Неттоп T4 Pro N3350 Win10pro
c179025129,https://www.wildberries.ru/catalog/179025129/detail.aspx,11967,Azerty,"Неттоп AZ-0018 (Intel i5 2x2.5GHz, 8Gb, 256Gb SSD, Wi-Fi, B"
c211485667,https://www.wildberries.ru/catalog/211485667/detail.aspx,24568,Azerty,"Мини ПК AZ-0024 Intel i7 6x2.6GHz, 16Gb, 512Gb SSD"
c124276567,https://www.wildberries.ru/catalog/124276567/detail.aspx,7984,Beelink,Неттоп T4 Pro N3350 Win10pro
c186165734,https://www.wildberries.ru/catalog/186165734/detail.aspx,42561,MSI,Неттоп Pro DP10 13M-025BRU i5 1340P Iris Xe noOS белый
c178132871,https://www.wildberries.ru/catalog/178132871/detail.aspx,13529,SKYTEK,Мини ПК Beelink GK mini 8 128Gb
c218483314,https://www.wildberries.ru/catalog/218483314/detail.aspx,33368,HIPER,Неттоп NUG I3-1115G4 8 256 Win11Pro
c219777113,https://www.wildberries.ru/catalog/219777113/detail.aspx,17943,GenMachine,Неттоп (Athlon 3150U 16ГБ 512ГБ)
c219777112,https://www.wildberries.ru/catalog/219777112/detail.aspx,14826,GenMachine,Неттоп (Athlon 3150U 8ГБ 256ГБ)
c218702700,https://www.wildberries.ru/catalog/218702700/detail.aspx,27302,GenMachine,Неттоп (R9-5900HX 16GB 512NVME)
c218664368,https://www.wildberries.ru/catalog/218664368/detail.aspx,21917,GenMachine,Неттоп (R7-5700U 16GB 512NVME)
c101322286,https://www.wildberries.ru/catalog/101322286/detail.aspx,11787,TOPIFY,Мини ПК Beelink Mini S 8 256 Gb
c178132714,https://www.wildberries.ru/catalog/178132714/detail.aspx,11823,SKYTEK,Мини ПК Beelink Mini S 8 128 Gb
c183104151,https://www.wildberries.ru/catalog/183104151/detail.aspx,13309,Azerty,"Неттоп AZ-0023 (Intel i7 2x2.7GHz, 8Gb, 512Gb SSD, Wi-Fi, B"
c186165695,https://www.wildberries.ru/catalog/186165695/detail.aspx,24799,MSI,Неттоп Cubi N ADL-018RU slim N200 4Gb SSD128Gb UHDG W11P
c216513602,https://www.wildberries.ru/catalog/216513602/detail.aspx,12194,Azerty,"Неттоп AZ-0015-256 (Intel i7 2x2.7GHz, 8Gb, 256 Gb SSD)"
c216513605,https://www.wildberries.ru/catalog/216513605/detail.aspx,17753,Azerty,"Неттоп AZ-0015 (Intel i7 2x2.7 GHz, 8Gb, 128 Gb SSD)"
c187808818,https://www.wildberries.ru/catalog/187808818/detail.aspx,8185,Beelink,Мини-пк Неттоп T4 Pro N3350 Win10pro
c54448987,https://www.wildberries.ru/catalog/54448987/detail.aspx,9093,Beelink,"Мини-ПК (неттоп) T4 Pro, 4 64 Гб, Windows 10 Компьютер"
c69072067,https://www.wildberries.ru/catalog/69072067/detail.aspx,10950,TOPIFY,Мини ПК Beelink GK Mini 8 256Gb J4125
c144848620,https://www.wildberries.ru/catalog/144848620/detail.aspx,12134,Volken,Мини ПК Beelink Mini S 8 256 Gb
c178139884,https://www.wildberries.ru/catalog/178139884/detail.aspx,14545,SKYTEK,Мини ПК Beelink Mini S 8 256 Gb
c158193455,https://www.wildberries.ru/catalog/158193455/detail.aspx,13309,Azerty,Мини ПК AZ-0015-512 2x2.7GHz 8Gb 512Gb
c186165777,https://www.wildberries.ru/catalog/186165777/detail.aspx,41628,MSI,Неттоп Cubi 5 12M-097XRU i5 1235U 16Gb SSD512Gb Iris Xe
c144852326,https://www.wildberries.ru/catalog/144852326/detail.aspx,11284,Volken,Мини ПК Beelink GK Mini 8 256Gb J4125
c101323054,https://www.wildberries.ru/catalog/101323054/detail.aspx,15038,DECK,Мини ПК Beelink Mini S 8 256 Gb
c178136429,https://www.wildberries.ru/catalog/178136429/detail.aspx,14227,SKYTEK,Мини ПК Beelink GK Mini 8 256Gb J4125
c211439235,https://www.wildberries.ru/catalog/211439235/detail.aspx,10139,Azerty,"Неттоп AZ-0013-256 (Intel i3 2x2.2GHz, 8Gb, 256 Gb SSD)"
c144881016,https://www.wildberries.ru/catalog/144881016/detail.aspx,12619,SAGE by Encome,Мини ПК Beelink Mini S 8 128 Gb
c207549206,https://www.wildberries.ru/catalog/207549206/detail.aspx,26536,iRU,Компьютер 310TLCN (1975168)
c70804659,https://www.wildberries.ru/catalog/70804659/detail.aspx,8136,Beelink,Неттоп T4 Pro N3350 Win10pro
c179025129,https://www.wildberries.ru/catalog/179025129/detail.aspx,11967,Azerty,"Неттоп AZ-0018 (Intel i5 2x2.5GHz, 8Gb, 256Gb SSD, Wi-Fi, B"
c211485667,https://www.wildberries.ru/catalog/211485667/detail.aspx,24568,Azerty,"Мини ПК AZ-0024 Intel i7 6x2.6GHz, 16Gb, 512Gb SSD"
c124276567,https://www.wildberries.ru/catalog/124276567/detail.aspx,7984,Beelink,Неттоп T4 Pro N3350 Win10pro
c186165734,https://www.wildberries.ru/catalog/186165734/detail.aspx,42561,MSI,Неттоп Pro DP10 13M-025BRU i5 1340P Iris Xe noOS белый
c178132871,https://www.wildberries.ru/catalog/178132871/detail.aspx,13529,SKYTEK,Мини ПК Beelink GK mini 8 128Gb
c218483314,https://www.wildberries.ru/catalog/218483314/detail.aspx,33368,HIPER,Неттоп NUG I3-1115G4 8 256 Win11Pro
c219777113,https://www.wildberries.ru/catalog/219777113/detail.aspx,17943,GenMachine,Неттоп (Athlon 3150U 16ГБ 512ГБ)
c219777112,https://www.wildberries.ru/catalog/219777112/detail.aspx,14826,GenMachine,Неттоп (Athlon 3150U 8ГБ 256ГБ)
c218702700,https://www.wildberries.ru/catalog/218702700/detail.aspx,27302,GenMachine,Неттоп (R9-5900HX 16GB 512NVME)
c218664368,https://www.wildberries.ru/catalog/218664368/detail.aspx,21917,GenMachine,Неттоп (R7-5700U 16GB 512NVME)
c101322286,https://www.wildberries.ru/catalog/101322286/detail.aspx,11787,TOPIFY,Мини ПК Beelink Mini S 8 256 Gb
c178132714,https://www.wildberries.ru/catalog/178132714/detail.aspx,11823,SKYTEK,Мини ПК Beelink Mini S 8 128 Gb
c183104151,https://www.wildberries.ru/catalog/183104151/detail.aspx,13309,Azerty,"Неттоп AZ-0023 (Intel i7 2x2.7GHz, 8Gb, 512Gb SSD, Wi-Fi, B"
c186165695,https://www.wildberries.ru/catalog/186165695/detail.aspx,24799,MSI,Неттоп Cubi N ADL-018RU slim N200 4Gb SSD128Gb UHDG W11P
c216513602,https://www.wildberries.ru/catalog/216513602/detail.aspx,12194,Azerty,"Неттоп AZ-0015-256 (Intel i7 2x2.7GHz, 8Gb, 256 Gb SSD)"
c216513605,https://www.wildberries.ru/catalog/216513605/detail.aspx,17753,Azerty,"Неттоп AZ-0015 (Intel i7 2x2.7 GHz, 8Gb, 128 Gb SSD)"
c187808818,https://www.wildberries.ru/catalog/187808818/detail.aspx,8185,Beelink,Мини-пк Неттоп T4 Pro N3350 Win10pro
c54448987,https://www.wildberries.ru/catalog/54448987/detail.aspx,9093,Beelink,"Мини-ПК (неттоп) T4 Pro, 4 64 Гб, Windows 10 Компьютер"
c69072067,https://www.wildberries.ru/catalog/69072067/detail.aspx,10950,TOPIFY,Мини ПК Beelink GK Mini 8 256Gb J4125
c144848620,https://www.wildberries.ru/catalog/144848620/detail.aspx,12134,Volken,Мини ПК Beelink Mini S 8 256 Gb
c178139884,https://www.wildberries.ru/catalog/178139884/detail.aspx,14545,SKYTEK,Мини ПК Beelink Mini S 8 256 Gb
c158193455,https://www.wildberries.ru/catalog/158193455/detail.aspx,13309,Azerty,Мини ПК AZ-0015-512 2x2.7GHz 8Gb 512Gb
c186165777,https://www.wildberries.ru/catalog/186165777/detail.aspx,41628,MSI,Неттоп Cubi 5 12M-097XRU i5 1235U 16Gb SSD512Gb Iris Xe
c144852326,https://www.wildberries.ru/catalog/144852326/detail.aspx,11284,Volken,Мини ПК Beelink GK Mini 8 256Gb J4125
c101323054,https://www.wildberries.ru/catalog/101323054/detail.aspx,15038,DECK,Мини ПК Beelink Mini S 8 256 Gb
c178136429,https://www.wildberries.ru/catalog/178136429/detail.aspx,14227,SKYTEK,Мини ПК Beelink GK Mini 8 256Gb J4125
c211439235,https://www.wildberries.ru/catalog/211439235/detail.aspx,10139,Azerty,"Неттоп AZ-0013-256 (Intel i3 2x2.2GHz, 8Gb, 256 Gb SSD)"
c144881016,https://www.wildberries.ru/catalog/144881016/detail.aspx,12619,SAGE by Encome,Мини ПК Beelink Mini S 8 128 Gb
c207549206,https://www.wildberries.ru/catalog/207549206/detail.aspx,26536,iRU,Компьютер 310TLCN (1975168)
c70804659,https://www.wildberries.ru/catalog/70804659/detail.aspx,8136,Beelink,Неттоп T4 Pro N3350 Win10pro
c179025129,https://www.wildberries.ru/catalog/179025129/detail.aspx,11967,Azerty,"Неттоп AZ-0018 (Intel i5 2x2.5GHz, 8Gb, 256Gb SSD, Wi-Fi, B"
c211485667,https://www.wildberries.ru/catalog/211485667/detail.aspx,24568,Azerty,"Мини ПК AZ-0024 Intel i7 6x2.6GHz, 16Gb, 512Gb SSD"
c124276567,https://www.wildberries.ru/catalog/124276567/detail.aspx,7984,Beelink,Неттоп T4 Pro N3350 Win10pro
c186165734,https://www.wildberries.ru/catalog/186165734/detail.aspx,42561,MSI,Неттоп Pro DP10 13M-025BRU i5 1340P Iris Xe noOS белый
c178132871,https://www.wildberries.ru/catalog/178132871/detail.aspx,13529,SKYTEK,Мини ПК Beelink GK mini 8 128Gb
c218483314,https://www.wildberries.ru/catalog/218483314/detail.aspx,33368,HIPER,Неттоп NUG I3-1115G4 8 256 Win11Pro
c219777113,https://www.wildberries.ru/catalog/219777113/detail.aspx,17943,GenMachine,Неттоп (Athlon 3150U 16ГБ 512ГБ)
c219777112,https://www.wildberries.ru/catalog/219777112/detail.aspx,14826,GenMachine,Неттоп (Athlon 3150U 8ГБ 256ГБ)
c218702700,https://www.wildberries.ru/catalog/218702700/detail.aspx,27302,GenMachine,Неттоп (R9-5900HX 16GB 512NVME)
c218664368,https://www.wildberries.ru/catalog/218664368/detail.aspx,21917,GenMachine,Неттоп (R7-5700U 16GB 512NVME)
c101322286,https://www.wildberries.ru/catalog/101322286/detail.aspx,11787,TOPIFY,Мини ПК Beelink Mini S 8 256 Gb
