_id,link,price,brand,name
c161085263,https://www.wildberries.ru/catalog/161085263/detail.aspx,2033,BAOFENG,"Рация Баофенг UV-16 Pro 10W (3 режима мощности) IP68, Type-C"
c108922795,https://www.wildberries.ru/catalog/108922795/detail.aspx,2658,BAOFENG,Радиостанция Баофенг BF-888s (4шт)
c99476018,https://www.wildberries.ru/catalog/99476018/detail.aspx,1397,BAOFENG,Радиостанция Баофенг BF-888s (2шт)
c161085265,https://www.wildberries.ru/catalog/161085265/detail.aspx,3367,BAOFENG,"Комплект раций Баофенг UV-5R 8W (3 реж.мощ.), IP57, 2шт"
c161085290,https://www.wildberries.ru/catalog/161085290/detail.aspx,3653,BAOFENG,"Рация Баофенг UV-9R PLUS 8W, 2шт, IP67"
c197713770,https://www.wildberries.ru/catalog/197713770/detail.aspx,1234,SosMarket,Рация BF-888s
c147112392,https://www.wildberries.ru/catalog/147112392/detail.aspx,1527,BAOFENG,Рация Баофенг UV-82 (8W) 3 режима мощности
c97477842,https://www.wildberries.ru/catalog/97477842/detail.aspx,1248,aishop,Рация Baofeng BF-888S 2шт в комплекте
c141500964,https://www.wildberries.ru/catalog/141500964/detail.aspx,2930,BAOFENG,Рация Баофенг UV-5R мощная
c140821995,https://www.wildberries.ru/catalog/140821995/detail.aspx,1488,BAOFENG,Рация Баофенг UV-5R мощная
c171134667,https://www.wildberries.ru/catalog/171134667/detail.aspx,3022,BAOFENG,Рация Баофенг UV-82 (8W) 3 режима мощности 2шт
c161085279,https://www.wildberries.ru/catalog/161085279/detail.aspx,1836,BAOFENG,"Рация Баофенг UV-9R PLUS 8W, IP67"
c94894613,https://www.wildberries.ru/catalog/94894613/detail.aspx,1625,Kromix,Рация автомобильная набор 2 шт для охоты и туризма
c90641986,https://www.wildberries.ru/catalog/90641986/detail.aspx,1349,BAOFENG,Рация UV-5R
c177384369,https://www.wildberries.ru/catalog/177384369/detail.aspx,1967,BAOFENG,Рация UV-16 PRO портативная радиостанция для охоты
c151987148,https://www.wildberries.ru/catalog/151987148/detail.aspx,1406,BAOFENG,Рация UV-82 (8W) радиостанция портативная для охоты
c60047342,https://www.wildberries.ru/catalog/60047342/detail.aspx,1216,BAOFENG,Рация BF-888S 2 шт
c161085276,https://www.wildberries.ru/catalog/161085276/detail.aspx,1571,BAOFENG,Рация Баофенг UV-5R 8W (3 режима мощности) IP57
c29152641,https://www.wildberries.ru/catalog/29152641/detail.aspx,1659,BAOFENG,Рация UV-82 8W Радиостанция Баофенг Type-C
c163550373,https://www.wildberries.ru/catalog/163550373/detail.aspx,1410,BAOFENG,Радиостанция Баофенг BF-888s
c161709281,https://www.wildberries.ru/catalog/161709281/detail.aspx,2044,BAOFENG,"Рация UV-16 двухдиапазонная, влагозащитная 10W Type-C"
c167938551,https://www.wildberries.ru/catalog/167938551/detail.aspx,2879,BAOFENG,Рация Баофенг UV-82 (8W) 3 режима мощности (2шт)
c181433128,https://www.wildberries.ru/catalog/181433128/detail.aspx,1404,FIZZI BOX,Рация автомобильная для охоты и туризма детская радиостанция
c176589858,https://www.wildberries.ru/catalog/176589858/detail.aspx,1235,BAOFENG,Рация BAOFENG-888S набор 2 шт
c169026941,https://www.wildberries.ru/catalog/169026941/detail.aspx,2124,BAOFENG,"Рация UV-16 двухдиапазонная, влагозащитная 10W Type-C"
c189961158,https://www.wildberries.ru/catalog/189961158/detail.aspx,2011,BAOFENG,"Рация UV-16 двухдиапазонная, влагозащитная 10W Type-C"
c167980734,https://www.wildberries.ru/catalog/167980734/detail.aspx,1739,Baofeng,Рация UV-82 8W TYPE-C радиостанция
c187265035,https://www.wildberries.ru/catalog/187265035/detail.aspx,1967,BAOFENG,Рация UV-16 PRO портативная радиостанция для охоты
c190064800,https://www.wildberries.ru/catalog/190064800/detail.aspx,2055,BAOFENG,"Рация UV-16 двухдиапазонная, влагозащитная 10W Type-C"
c29151829,https://www.wildberries.ru/catalog/29151829/detail.aspx,2011,V-Store,Рация Powerful UV-S5 Радиостанция Военная Мощная Портативная
c161085263,https://www.wildberries.ru/catalog/161085263/detail.aspx,2033,BAOFENG,"Рация Баофенг UV-16 Pro 10W (3 режима мощности) IP68, Type-C"
c108922795,https://www.wildberries.ru/catalog/108922795/detail.aspx,2658,BAOFENG,Радиостанция Баофенг BF-888s (4шт)
c99476018,https://www.wildberries.ru/catalog/99476018/detail.aspx,1397,BAOFENG,Радиостанция Баофенг BF-888s (2шт)
c161085265,https://www.wildberries.ru/catalog/161085265/detail.aspx,3367,BAOFENG,"Комплект раций Баофенг UV-5R 8W (3 реж.мощ.), IP57, 2шт"
c161085290,https://www.wildberries.ru/catalog/161085290/detail.aspx,3653,BAOFENG,"Рация Баофенг UV-9R PLUS 8W, 2шт, IP67"
c197713770,https://www.wildberries.ru/catalog/197713770/detail.aspx,1234,SosMarket,Рация BF-888s
c147112392,https://www.wildberries.ru/catalog/147112392/detail.aspx,1527,BAOFENG,Рация Баофенг UV-82 (8W) 3 режима мощности
c97477842,https://www.wildberries.ru/catalog/97477842/detail.aspx,1248,aishop,Рация Baofeng BF-888S 2шт в комплекте
c141500964,https://www.wildberries.ru/catalog/141500964/detail.aspx,2930,BAOFENG,Рация Баофенг UV-5R мощная
c140821995,https://www.wildberries.ru/catalog/140821995/detail.aspx,1488,BAOFENG,Рация Баофенг UV-5R мощная
c171134667,https://www.wildberries.ru/catalog/171134667/detail.aspx,3022,BAOFENG,Рация Баофенг UV-82 (8W) 3 режима мощности 2шт
c161085279,https://www.wildberries.ru/catalog/161085279/detail.aspx,1836,BAOFENG,"Рация Баофенг UV-9R PLUS 8W, IP67"
c94894613,https://www.wildberries.ru/catalog/94894613/detail.aspx,1625,Kromix,Рация автомобильная набор 2 шт для охоты и туризма
c90641986,https://www.wildberries.ru/catalog/90641986/detail.aspx,1349,BAOFENG,Рация UV-5R
c177384369,https://www.wildberries.ru/catalog/177384369/detail.aspx,1967,BAOFENG,Рация UV-16 PRO портативная радиостанция для охоты
c151987148,https://www.wildberries.ru/catalog/151987148/detail.aspx,1406,BAOFENG,Рация UV-82 (8W) радиостанция портативная для охоты
c60047342,https://www.wildberries.ru/catalog/60047342/detail.aspx,1216,BAOFENG,Рация BF-888S 2 шт
c161085276,https://www.wildberries.ru/catalog/161085276/detail.aspx,1571,BAOFENG,Рация Баофенг UV-5R 8W (3 режима мощности) IP57
c29152641,https://www.wildberries.ru/catalog/29152641/detail.aspx,1659,BAOFENG,Рация UV-82 8W Радиостанция Баофенг Type-C
c163550373,https://www.wildberries.ru/catalog/163550373/detail.aspx,1410,BAOFENG,Радиостанция Баофенг BF-888s
c161709281,https://www.wildberries.ru/catalog/161709281/detail.aspx,2044,BAOFENG,"Рация UV-16 двухдиапазонная, влагозащитная 10W Type-C"
c167938551,https://www.wildberries.ru/catalog/167938551/detail.aspx,2879,BAOFENG,Рация Баофенг UV-82 (8W) 3 режима мощности (2шт)
c181433128,https://www.wildberries.ru/catalog/181433128/detail.aspx,1404,FIZZI BOX,Рация автомобильная для охоты и туризма детская радиостанция
c176589858,https://www.wildberries.ru/catalog/176589858/detail.aspx,1235,BAOFENG,Рация BAOFENG-888S набор 2 шт
c169026941,https://www.wildberries.ru/catalog/169026941/detail.aspx,2124,BAOFENG,"Рация UV-16 двухдиапазонная, влагозащитная 10W Type-C"
c189961158,https://www.wildberries.ru/catalog/189961158/detail.aspx,2011,BAOFENG,"Рация UV-16 двухдиапазонная, влагозащитная 10W Type-C"
c167980734,https://www.wildberries.ru/catalog/167980734/detail.aspx,1739,Baofeng,Рация UV-82 8W TYPE-C радиостанция
c187265035,https://www.wildberries.ru/catalog/187265035/detail.aspx,1967,BAOFENG,Рация UV-16 PRO портативная радиостанция для охоты
c190064800,https://www.wildberries.ru/catalog/190064800/detail.aspx,2055,BAOFENG,"Рация UV-16 двухдиапазонная, влагозащитная 10W Type-C"
c29151829,https://www.wildberries.ru/catalog/29151829/detail.aspx,2011,V-Store,Рация Powerful UV-S5 Радиостанция Военная Мощная Портативная
c161085263,https://www.wildberries.ru/catalog/161085263/detail.aspx,2033,BAOFENG,"Рация Баофенг UV-16 Pro 10W (3 режима мощности) IP68, Type-C"
c108922795,https://www.wildberries.ru/catalog/108922795/detail.aspx,2658,BAOFENG,Радиостанция Баофенг BF-888s (4шт)
c99476018,https://www.wildberries.ru/catalog/99476018/detail.aspx,1397,BAOFENG,Радиостанция Баофенг BF-888s (2шт)
c161085265,https://www.wildberries.ru/catalog/161085265/detail.aspx,3367,BAOFENG,"Комплект раций Баофенг UV-5R 8W (3 реж.мощ.), IP57, 2шт"
c161085290,https://www.wildberries.ru/catalog/161085290/detail.aspx,3653,BAOFENG,"Рация Баофенг UV-9R PLUS 8W, 2шт, IP67"
c197713770,https://www.wildberries.ru/catalog/197713770/detail.aspx,1234,SosMarket,Рация BF-888s
c147112392,https://www.wildberries.ru/catalog/147112392/detail.aspx,1527,BAOFENG,Рация Баофенг UV-82 (8W) 3 режима мощности
c97477842,https://www.wildberries.ru/catalog/97477842/detail.aspx,1248,aishop,Рация Baofeng BF-888S 2шт в комплекте
c141500964,https://www.wildberries.ru/catalog/141500964/detail.aspx,2930,BAOFENG,Рация Баофенг UV-5R мощная
c140821995,https://www.wildberries.ru/catalog/140821995/detail.aspx,1488,BAOFENG,Рация Баофенг UV-5R мощная
c171134667,https://www.wildberries.ru/catalog/171134667/detail.aspx,3022,BAOFENG,Рация Баофенг UV-82 (8W) 3 режима мощности 2шт
c161085279,https://www.wildberries.ru/catalog/161085279/detail.aspx,1836,BAOFENG,"Рация Баофенг UV-9R PLUS 8W, IP67"
c94894613,https://www.wildberries.ru/catalog/94894613/detail.aspx,1625,Kromix,Рация автомобильная набор 2 шт для охоты и туризма
c90641986,https://www.wildberries.ru/catalog/90641986/detail.aspx,1349,BAOFENG,Рация UV-5R
c177384369,https://www.wildberries.ru/catalog/177384369/detail.aspx,1967,BAOFENG,Рация UV-16 PRO портативная радиостанция для охоты
c151987148,https://www.wildberries.ru/catalog/151987148/detail.aspx,1406,BAOFENG,Рация UV-82 (8W) радиостанция портативная для охоты
c60047342,https://www.wildberries.ru/catalog/60047342/detail.aspx,1216,BAOFENG,Рация BF-888S 2 шт
c161085276,https://www.wildberries.ru/catalog/161085276/detail.aspx,1571,BAOFENG,Рация Баофенг UV-5R 8W (3 режима мощности) IP57
c29152641,https://www.wildberries.ru/catalog/29152641/detail.aspx,1659,BAOFENG,Рация UV-82 8W Радиостанция Баофенг Type-C
c163550373,https://www.wildberries.ru/catalog/163550373/detail.aspx,1410,BAOFENG,Радиостанция Баофенг BF-888s
c161709281,https://www.wildberries.ru/catalog/161709281/detail.aspx,2044,BAOFENG,"Рация UV-16 двухдиапазонная, влагозащитная 10W Type-C"
c167938551,https://www.wildberries.ru/catalog/167938551/detail.aspx,2879,BAOFENG,Рация Баофенг UV-82 (8W) 3 режима мощности (2шт)
c181433128,https://www.wildberries.ru/catalog/181433128/detail.aspx,1404,FIZZI BOX,Рация автомобильная для охоты и туризма детская радиостанция
c176589858,https://www.wildberries.ru/catalog/176589858/detail.aspx,1235,BAOFENG,Рация BAOFENG-888S набор 2 шт
c169026941,https://www.wildberries.ru/catalog/169026941/detail.aspx,2124,BAOFENG,"Рация UV-16 двухдиапазонная, влагозащитная 10W Type-C"
c189961158,https://www.wildberries.ru/catalog/189961158/detail.aspx,2011,BAOFENG,"Рация UV-16 двухдиапазонная, влагозащитная 10W Type-C"
c167980734,https://www.wildberries.ru/catalog/167980734/detail.aspx,1739,Baofeng,Рация UV-82 8W TYPE-C радиостанция
c187265035,https://www.wildberries.ru/catalog/187265035/detail.aspx,1967,BAOFENG,Рация UV-16 PRO портативная радиостанция для охоты
c190064800,https://www.wildberries.ru/catalog/190064800/detail.aspx,2055,BAOFENG,"Рация UV-16 двухдиапазонная, влагозащитная 10W Type-C"
c29151829,https://www.wildberries.ru/catalog/29151829/detail.aspx,2011,V-Store,Рация Powerful UV-S5 Радиостанция Военная Мощная Портативная
c17288104,https://www.wildberries.ru/catalog/17288104/detail.aspx,1439,Baofeng,Рация UV-5R радиостанция Баофенг
c45588502,https://www.wildberries.ru/catalog/45588502/detail.aspx,1470,Baofeng,Рация BF-T15 комплект радиостанций 2шт
c145014445,https://www.wildberries.ru/catalog/145014445/detail.aspx,1160,A&M Store,Рация детская
c150784119,https://www.wildberries.ru/catalog/150784119/detail.aspx,1197,BAOFENG,Радиостанция Баофенг BF-888s 2 шт
c33456690,https://www.wildberries.ru/catalog/33456690/detail.aspx,1494,Baofeng,Рация BF-T15 комплект радиостанций 2шт камуфляж
c208208674,https://www.wildberries.ru/catalog/208208674/detail.aspx,1886,BAOFENG,Электронная рация Баофенг UV-82
c186655606,https://www.wildberries.ru/catalog/186655606/detail.aspx,1342,BAOFENG,Рация UV-5R
c26139212,https://www.wildberries.ru/catalog/26139212/detail.aspx,624,Мир Удивительных Товаров,Рация детская 2 шт. игровой набор
c207977190,https://www.wildberries.ru/catalog/207977190/detail.aspx,1237,YOTERRA,"Рация детская, радиостанция"
c208209364,https://www.wildberries.ru/catalog/208209364/detail.aspx,1740,BAOFENG,Электронная рация Баофенг BF-888S с фонариком 2 штуки
c37609057,https://www.wildberries.ru/catalog/37609057/detail.aspx,1189,BAOFENG,Радиостанция BF-888s
c171640008,https://www.wildberries.ru/catalog/171640008/detail.aspx,552,BAOFENG,"Антенна складная, гибкая для раций 47см"
c185724658,https://www.wildberries.ru/catalog/185724658/detail.aspx,1270,SILVERBAND,Детская рация 2шт с фонариком
c173579275,https://www.wildberries.ru/catalog/173579275/detail.aspx,5141,BAOFENG,Рация Баофенг UV-16 Pro 10 Вт комплект 2 шт
c96104056,https://www.wildberries.ru/catalog/96104056/detail.aspx,5915,BAOFENG,Радиостанция BF-888s 10 штук
c145311198,https://www.wildberries.ru/catalog/145311198/detail.aspx,2843,BAOFENG,Рация DR-1801UV (DM-1801)
c18661019,https://www.wildberries.ru/catalog/18661019/detail.aspx,1573,BAOFENG,Радиостанция Баофенг UV-5R (8W) 2 режима
c159793136,https://www.wildberries.ru/catalog/159793136/detail.aspx,305,BAOFENG,Антенна для рации Midi Баофенг Kenwood UV-5R UV-82
c162117163,https://www.wildberries.ru/catalog/162117163/detail.aspx,198,NAGOYA,Антенна для рации радиостанции NA-771
c162652177,https://www.wildberries.ru/catalog/162652177/detail.aspx,312,NAGOYA,Антенна для рации тактическая усиленная
c165548372,https://www.wildberries.ru/catalog/165548372/detail.aspx,1287,BAOFENG,Рация Баофенг BF-888H комплект 2 шт
c159801191,https://www.wildberries.ru/catalog/159801191/detail.aspx,370,BAOFENG,Антенна для рации Баофенг Kenwood штатная UV
c167173335,https://www.wildberries.ru/catalog/167173335/detail.aspx,5193,TYT,Рация тит TH-UV99 10 Вт
c216749350,https://www.wildberries.ru/catalog/216749350/detail.aspx,8138,Tyt,Рация TH-UV8000D USB-TYPE-C комплект 2 шт
c171657720,https://www.wildberries.ru/catalog/171657720/detail.aspx,276,NAGOYA,Антенна для рации тактическая гибкая
c173568275,https://www.wildberries.ru/catalog/173568275/detail.aspx,9399,Tyt,Рация тит TH-UV99 10 Вт комплект 2 шт
